"","occupancy","extinction","colonization","synchrony","model"
"378",1,0,0,0,"Hanski"
"379",1,0,0,0,"Hanski"
"380",1,0,0,0,"Hanski"
"381",1,0,0,0,"Hanski"
"382",1,0,0,0,"Hanski"
"383",1,0,0,0,"Hanski"
"384",1,0,0,0,"Hanski"
"385",1,0,0,0,"Hanski"
"386",1,0,0,0,"Hanski"
"387",1,0,0,0,"Hanski"
"388",1,0,0,0,"Hanski"
"389",1,0,0,0,"Hanski"
"390",1,0,0,0,"Hanski"
"391",1,0,0,0,"Hanski"
"392",1,0,0,0,"Hanski"
"393",1,0,0,0,"Hanski"
"394",1,0,0,0,"Hanski"
"395",1,0,0,0,"Hanski"
"396",1,0,0,0,"Hanski"
"397",1,0,0,0,"Hanski"
"398",1,0,0,0,"Hanski"
"399",1,0,0,0,"Hanski"
"400",1,0,0,0,"Hanski"
"401",1,0,0,0,"Hanski"
"402",1,0,0,0,"Hanski"
"403",1,0,0,0,"Hanski"
"404",1,0,0,0,"Hanski"
"405",1,0,0,0,"Hanski"
"406",1,0,0,0,"Hanski"
"407",1,0,0,0,"Hanski"
"408",1,0,0,0,"Hanski"
"409",1,0,0,0,"Hanski"
"410",1,0,0,0,"Hanski"
"411",1,0,0,0,"Hanski"
"412",1,0,0,0,"Hanski"
"413",1,0,0,0,"Hanski"
"414",1,0,0,0,"Hanski"
"415",1,0,0,0,"Hanski"
"416",1,0,0,0,"Hanski"
"417",1,0,0,0,"Hanski"
"418",1,0,0,0,"Hanski"
"419",1,0,0,0,"Hanski"
"420",1,0,0,0,"Hanski"
"421",1,0,0,0,"Hanski"
"422",1,0,0,0,"Hanski"
"423",1,0,0,0,"Hanski"
"424",1,0,0,0,"Hanski"
"425",1,0,0,0,"Hanski"
"426",1,0,0,0,"Hanski"
"427",1,0,0,0,"Hanski"
"428",1,0,0,0,"Hanski"
"429",1,0,0,0,"Hanski"
"430",1,0,0,0,"Hanski"
"431",1,0,0,0,"Hanski"
"432",1,0,0,0,"Hanski"
"433",1,0,0,0,"Hanski"
"434",1,0,0,0,"Hanski"
"435",1,0,0,0,"Hanski"
"436",1,0,0,0,"Hanski"
"437",1,0,0,0,"Hanski"
"438",1,0,0,0,"Hanski"
"439",1,0,0,0,"Hanski"
"440",1,0,0,0,"Hanski"
"441",1,0,0,0,"Hanski"
"442",1,0,0,0,"Hanski"
"443",1,0,0,0,"Hanski"
"444",1,0,0,0,"Hanski"
